v8-version,8,1,307,31,-node.33,0
shared-library,/home/jeka/.nvm/versions/node/v14.4.0/bin/node,0x400000,0x4075000,0
shared-library,/lib/x86_64-linux-gnu/libc-2.27.so,0x7f2938742000,0x7f2938929000,0
shared-library,/lib/x86_64-linux-gnu/libpthread-2.27.so,0x7f2938b33000,0x7f2938b4d000,0
shared-library,/lib/x86_64-linux-gnu/libgcc_s.so.1,0x7f2938d52000,0x7f2938d69000,0
shared-library,/lib/x86_64-linux-gnu/libm-2.27.so,0x7f2938f6a000,0x7f2939107000,0
shared-library,/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.25,0x7f2939308000,0x7f2939481000,0
shared-library,/lib/x86_64-linux-gnu/libdl-2.27.so,0x7f2939691000,0x7f2939694000,0
shared-library,/lib/x86_64-linux-gnu/ld-2.27.so,0x7f2939895000,0x7f29398bc000,0
shared-library,[vdso],0x7ffca1bc3000,0x7ffca1bc4000,0
shared-library,[vsyscall],0xffffffffff600000,0xffffffffff601000,0
profiler,begin,1000
tick,0x7f2938852297,453,0,0x0,6
tick,0xc5ce80,1544,0,0x0,6
code-creation,Builtin,3,1555,0x133c060,1632,RecordWrite
code-creation,Builtin,3,1562,0x133c6e0,424,EphemeronKeyBarrier
code-creation,Builtin,3,1565,0x133c8a0,44,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,1568,0x133c8e0,291,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,1570,0x133ca20,207,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,1574,0x133cb00,260,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,1577,0x133cc20,289,CallFunction_ReceiverIsAny
code-creation,Builtin,3,1580,0x133cd60,127,CallBoundFunction
code-creation,Builtin,3,1582,0x133cde0,109,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,1585,0x133ce60,109,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,1588,0x133cee0,109,Call_ReceiverIsAny
code-creation,Builtin,3,1591,0x133cf60,824,CallProxy
code-creation,Builtin,3,1593,0x133d2a0,75,CallVarargs
code-creation,Builtin,3,1596,0x133d300,1020,CallWithSpread
code-creation,Builtin,3,1601,0x133d700,942,CallWithArrayLike
code-creation,Builtin,3,1603,0x133dac0,100,CallForwardVarargs
code-creation,Builtin,3,1606,0x133db40,100,CallFunctionForwardVarargs
code-creation,Builtin,3,1609,0x133dbc0,157,CallFunctionTemplate_CheckAccess
code-creation,Builtin,3,1612,0x133dc60,245,CallFunctionTemplate_CheckCompatibleReceiver
code-creation,Builtin,3,1615,0x133dd60,350,CallFunctionTemplate_CheckAccessAndCompatibleReceiver
code-creation,Builtin,3,1618,0x133dec0,26,ConstructFunction
code-creation,Builtin,3,1621,0x133dee0,127,ConstructBoundFunction
code-creation,Builtin,3,1624,0x133df60,28,ConstructedNonConstructable
code-creation,Builtin,3,1627,0x133df80,90,Construct
code-creation,Builtin,3,1629,0x133dfe0,75,ConstructVarargs
code-creation,Builtin,3,1632,0x133e040,1048,ConstructWithSpread
code-creation,Builtin,3,1634,0x133e460,1020,ConstructWithArrayLike
code-creation,Builtin,3,1637,0x133e860,139,ConstructForwardVarargs
code-creation,Builtin,3,1640,0x133e900,139,ConstructFunctionForwardVarargs
code-creation,Builtin,3,1643,0x133e9a0,325,JSConstructStubGeneric
code-creation,Builtin,3,1645,0x133eb00,241,JSBuiltinsConstructStub
code-creation,Builtin,3,1648,0x133ec00,735,FastNewObject
code-creation,Builtin,3,1651,0x133eee0,305,FastNewClosure
code-creation,Builtin,3,1653,0x133f020,209,FastNewFunctionContextEval
code-creation,Builtin,3,1656,0x133f100,209,FastNewFunctionContextFunction
code-creation,Builtin,3,1659,0x133f1e0,246,CreateRegExpLiteral
code-creation,Builtin,3,1662,0x133f2e0,558,CreateEmptyArrayLiteral
code-creation,Builtin,3,1664,0x133f520,1176,CreateShallowArrayLiteral
code-creation,Builtin,3,1667,0x133f9c0,1868,CreateShallowObjectLiteral
code-creation,Builtin,3,1670,0x1340120,812,ConstructProxy
code-creation,Builtin,3,1673,0x1340460,188,JSEntry
code-creation,Builtin,3,1675,0x1340520,188,JSConstructEntry
code-creation,Builtin,3,1677,0x13405e0,188,JSRunMicrotasksEntry
code-creation,Builtin,3,1680,0x13406a0,95,JSEntryTrampoline
code-creation,Builtin,3,1683,0x1340700,95,JSConstructEntryTrampoline
code-creation,Builtin,3,1686,0x1340760,307,ResumeGeneratorTrampoline
code-creation,Builtin,3,1688,0x13408a0,1148,StringCodePointAt
code-creation,Builtin,3,1691,0x1340d20,1651,StringFromCodePointAt
code-creation,Builtin,3,1698,0x13413a0,552,StringEqual
code-creation,Builtin,3,1701,0x13415e0,288,StringGreaterThan
code-creation,Builtin,3,1703,0x1341720,288,StringGreaterThanOrEqual
code-creation,Builtin,3,1706,0x1341860,1077,StringIndexOf
code-creation,Builtin,3,1708,0x1341ca0,288,StringLessThan
code-creation,Builtin,3,1711,0x1341de0,288,StringLessThanOrEqual
code-creation,Builtin,3,1714,0x1341f20,2643,StringSubstring
code-creation,Builtin,3,1716,0x1342980,92,OrderedHashTableHealIndex
code-creation,Builtin,3,1719,0x13429e0,838,InterpreterEntryTrampoline
code-creation,Builtin,3,1722,0x1342d40,76,InterpreterPushArgsThenCall
code-creation,Builtin,3,1725,0x1342da0,82,InterpreterPushUndefinedAndArgsThenCall
code-creation,Builtin,3,1728,0x1342e00,79,InterpreterPushArgsThenCallWithFinalSpread
code-creation,Builtin,3,1731,0x1342e60,75,InterpreterPushArgsThenConstruct
code-creation,Builtin,3,1734,0x1342ec0,75,InterpreterPushArgsThenConstructArrayFunction
code-creation,Builtin,3,1737,0x1342f20,78,InterpreterPushArgsThenConstructWithFinalSpread
code-creation,Builtin,3,1741,0x1342f80,184,InterpreterEnterBytecodeAdvance
code-creation,Builtin,3,1744,0x1343040,81,InterpreterEnterBytecodeDispatch
code-creation,Builtin,3,1746,0x13430a0,51,InterpreterOnStackReplacement
code-creation,Builtin,3,1749,0x13430e0,1061,CompileLazy
code-creation,Builtin,3,1752,0x1343520,92,CompileLazyDeoptimizedCode
code-creation,Builtin,3,1755,0x1343580,245,InstantiateAsmJs
code-creation,Builtin,3,1757,0x1343680,32,NotifyDeoptimized
code-creation,Builtin,3,1760,0x13436c0,52,ContinueToCodeStubBuiltin
code-creation,Builtin,3,1763,0x1343700,60,ContinueToCodeStubBuiltinWithResult
code-creation,Builtin,3,1766,0x1343740,56,ContinueToJavaScriptBuiltin
code-creation,Builtin,3,1769,0x1343780,64,ContinueToJavaScriptBuiltinWithResult
code-creation,Builtin,3,1772,0x13437e0,287,CallApiCallback
code-creation,Builtin,3,1774,0x1343900,269,CallApiGetter
code-creation,Builtin,3,1777,0x1343a20,12,HandleApiCall
code-creation,Builtin,3,1779,0x1343a40,12,HandleApiCallAsFunction
code-creation,Builtin,3,1782,0x1343a60,12,HandleApiCallAsConstructor
code-creation,Builtin,3,1785,0x1343a80,72,AllocateInYoungGeneration
code-creation,Builtin,3,1788,0x1343ae0,60,AllocateRegularInYoungGeneration
code-creation,Builtin,3,1791,0x1343b20,72,AllocateInOldGeneration
code-creation,Builtin,3,1793,0x1343b80,60,AllocateRegularInOldGeneration
code-creation,Builtin,3,1796,0x1343bc0,484,CopyFastSmiOrObjectElements
code-creation,Builtin,3,1799,0x1343dc0,559,GrowFastDoubleElements
code-creation,Builtin,3,1802,0x1344000,438,GrowFastSmiOrObjectElements
code-creation,Builtin,3,1805,0x13441c0,361,NewArgumentsElements
code-creation,Builtin,3,1808,0x1344340,500,DebugBreakTrampoline
code-creation,Builtin,3,1810,0x1344540,141,FrameDropperTrampoline
code-creation,Builtin,3,1813,0x13445e0,45,HandleDebuggerStatement
code-creation,Builtin,3,1816,0x1344620,254,ToObject
code-creation,Builtin,3,1818,0x1344720,104,ToBoolean
code-creation,Builtin,3,1821,0x13447a0,269,OrdinaryToPrimitive_Number
code-creation,Builtin,3,1823,0x13448c0,269,OrdinaryToPrimitive_String
code-creation,Builtin,3,1826,0x13449e0,219,NonPrimitiveToPrimitive_Default
code-creation,Builtin,3,1829,0x1344ac0,219,NonPrimitiveToPrimitive_Number
code-creation,Builtin,3,1832,0x1344ba0,219,NonPrimitiveToPrimitive_String
code-creation,Builtin,3,1835,0x1344c80,85,StringToNumber
code-creation,Builtin,3,1838,0x1344ce0,129,ToName
code-creation,Builtin,3,1840,0x1344d80,235,NonNumberToNumber
code-creation,Builtin,3,1843,0x1344e80,255,NonNumberToNumeric
code-creation,Builtin,3,1845,0x1344f80,239,ToNumber
code-creation,Builtin,3,1848,0x1345080,272,ToNumberConvertBigInt
code-creation,Builtin,3,1850,0x13451a0,275,ToNumeric
code-creation,Builtin,3,1853,0x13452c0,261,NumberToString
code-creation,Builtin,3,1855,0x13453e0,454,ToInteger
code-creation,Builtin,3,1858,0x13455c0,466,ToInteger_TruncateMinusZero
code-creation,Builtin,3,1861,0x13457a0,382,ToLength
code-creation,Builtin,3,1863,0x1345920,140,Typeof
code-creation,Builtin,3,1866,0x13459c0,69,GetSuperConstructor
code-creation,Builtin,3,1868,0x1345a20,133,BigIntToI64
code-creation,Builtin,3,1872,0x1345ac0,12,BigIntToI32Pair
code-creation,Builtin,3,1875,0x1345ae0,309,I64ToBigInt
code-creation,Builtin,3,1877,0x1345c20,12,I32PairToBigInt
code-creation,Builtin,3,1880,0x1345c40,112,ToBooleanLazyDeoptContinuation
